sku,product_name,unit,barcode,size_grams,source_sheet,source_row
RB-CB-0001,กาแฟ Allday Hillkoff 1 kg. สูตร 1,Pcs,8857109010216,1000,Sheet1,2891
RB-CB-0002,กาแฟ Allday Hillkoff 1 kg. สูตร 2,Pcs,8857109010223,1000,Sheet1,2892
RB-CB-0003,กาแฟ Allday Hillkoff 1 kg. สูตร 3,Pcs,8857109010230,1000,Sheet1,2893
RB-OR-0065,กาแฟ วรรณกร เบลนด์ 500 กรัม,Pcs,8857109003324,500,Sheet1,2896
RB-OR-0070,กาแฟเบลนด์ คอฟฟี่อะเดย์ 500 กรัม สูตร 2,Pcs,8857109022110,500,Sheet1,2902
RB-OR-0023,กาแฟสูตร 1 500g,Pcs,8857109001979,500,Sheet1,2909
RB-OR-0024,กาแฟสูตร 2 500 g,Pcs,8857109001986,500,Sheet1,2910
RB-OR-0025,กาแฟสูตร 3 500g,Pcs,8857109001993,500,Sheet1,2911
RB-OR-0026,กาแฟสูตร 4 500g,Pcs,8857109002006,500,Sheet1,2912
RB-OR-0028,กาแฟสูตรนิศารัตน์ No 6 500 g.,Pcs,,500,Sheet1,2914
RB-OR-0039,กาแฟสูตรเบลนด์ มนต์นมสด 500 g.,Pcs,8857109000515,500,Sheet1,2915
RB-OR-0020,กาแฟสูตรราชดำเนิน 1000 g.,Kgs,8857109001931,1000,Sheet1,2916
RB-OR-0057,กาแฟสูตรร้านเค้กกาแฟสด 1 kg.,Kgs,5588550104744,1000,Sheet1,2917
RB-OR-0001,เกษม Dark Roasted ถุงใส 1 กก,Kgs,,1000,Sheet1,2921
RB-OR-0002,เกษม Medium Roasted ถุงใส 1 กก,Kgs,,1000,Sheet1,2922
RB-OR-0004,เกษม Vienna Roasted ถุงใส 1 กก,Kgs,,1000,Sheet1,2923
RB-OR-0009,คุณชู Blue Mountain (B)  500 g,pcs,8857109001856,500,Sheet1,2986
RB-OR-0007,คุณชู Dark Roast  500 กรัม,pcs,8857109000569,500,Sheet1,2987
RB-OR-0015,วนัสนันท์สูตรเย็น 1000 g,Kgs,8857109001887,1000,Sheet1,3291
